State/Province,Class,Rating,Events
Alabama,Am,840.3727915194346,3.664310954063604
Alabama,Pro,929.5430463576159,6.5364238410596025
Alaska,Am,834.0903614457832,4.542168674698795
Alaska,Pro,916.3018867924528,6.283018867924528
Arizona,Am,831.1788375558867,3.067064083457526
Arizona,Pro,933.438596491228,4.701754385964913
Arkansas,Am,849.3882544861337,3.402936378466558
Arkansas,Pro,926.9716312056737,6.099290780141844
Armed Forces (Americas),Am,802.0,1.0
"Armed Forces (Europe, Canada, Middle Eas",Am,829.5454545454545,3.0
"Armed Forces (Europe, Canada, Middle Eas",Pro,922.6666666666666,3.3333333333333335
Armed Forces (Pacific),Am,771.5652173913044,2.347826086956522
Armed Forces (Pacific),Pro,983.0,1.0
California,Am,857.265661641541,3.1748743718592967
California,Pro,932.2638731596829,5.339750849377124
Colorado,Am,844.852959898154,4.180140038192234
Colorado,Pro,919.9802955665025,6.347290640394089
Connecticut,Am,859.7553956834532,3.615107913669065
Connecticut,Pro,935.4,5.9125
Delaware,Am,851.4858757062146,3.76271186440678
Delaware,Pro,912.5142857142857,5.428571428571429
District of Columbia,Am,878.4545454545455,4.590909090909091
District of Columbia,Pro,936.0,6.2
Florida,Am,849.973877176902,3.6099908340971587
Florida,Pro,931.2759856630825,5.455197132616488
Georgia,Am,835.8015607580825,3.62876254180602
Georgia,Pro,928.5879629629629,6.064814814814815
Hawaii,Am,838.7260273972603,1.4383561643835616
Hawaii,Pro,902.625,1.5833333333333333
Idaho,Am,851.079295154185,3.649779735682819
Idaho,Pro,934.622641509434,6.037735849056604
Illinois,Am,842.7392197125257,3.6935318275154003
Illinois,Pro,931.1167883211679,6.521897810218978
Indiana,Am,840.3175355450237,4.096817874069059
Indiana,Pro,928.508875739645,6.810650887573964
Iowa,Am,854.398247322298,4.567672833495618
Iowa,Pro,931.4201183431952,7.260355029585799
Kansas,Am,850.203373015873,3.628968253968254
Kansas,Pro,933.3821989528795,6.0680628272251305
Kentucky,Am,838.6839749328559,3.9051029543419875
Kentucky,Pro,925.829268292683,8.024390243902438
Louisiana,Am,841.6709401709402,3.858974358974359
Louisiana,Pro,918.34375,5.489583333333333
Maine,Am,859.2116991643454,3.913649025069638
Maine,Pro,925.3652173913043,6.573913043478261
Maryland,Am,840.6775300171527,3.2847341337907374
Maryland,Pro,925.2553191489362,6.553191489361702
Massachusetts,Am,847.4542815674891,3.5428156748911466
Massachusetts,Pro,931.5611111111111,7.705555555555556
Michigan,Am,850.3043168034249,3.5847306457367107
Michigan,Pro,922.3374689826303,6.637717121588089
Minnesota,Am,848.9323361823361,3.925213675213675
Minnesota,Pro,927.3473053892216,6.410179640718563
Mississippi,Am,846.9683698296838,3.024330900243309
Mississippi,Pro,932.5844155844156,4.8311688311688314
Missouri,Am,850.344414893617,3.730718085106383
Missouri,Pro,931.3682432432432,6.783783783783784
Montana,Am,865.8012820512821,3.7884615384615383
Montana,Pro,921.0759493670886,4.430379746835443
Nebraska,Am,836.5177111716621,4.599455040871935
Nebraska,Pro,909.9066666666666,7.133333333333334
Nevada,Am,841.0230547550432,3.5504322766570606
Nevada,Pro,926.2446808510638,5.24468085106383
New Hampshire,Am,848.1410256410256,4.469230769230769
New Hampshire,Pro,935.7808219178082,7.205479452054795
New Jersey,Am,840.3895652173914,3.692173913043478
New Jersey,Pro,921.0721649484536,6.783505154639175
New Mexico,Am,833.9719626168225,3.149532710280374
New Mexico,Pro,919.1720430107526,4.247311827956989
New York,Am,839.2252559726962,4.037542662116041
New York,Pro,923.8578199052133,6.028436018957346
North Carolina,Am,848.5182536695521,4.014678208505834
North Carolina,Pro,937.3604060913706,8.131979695431472
North Dakota,Am,839.576,2.888
North Dakota,Pro,915.5652173913044,3.891304347826087
Ohio,Am,842.6131067961165,3.847572815533981
Ohio,Pro,920.6203007518797,6.575187969924812
Oklahoma,Am,842.3694627709708,4.034872761545712
Oklahoma,Pro,926.0,6.746031746031746
Oregon,Am,851.55390625,3.97265625
Oregon,Pro,934.0383631713555,7.59079283887468
Pennsylvania,Am,846.4591513616213,3.9018366054464853
Pennsylvania,Pro,922.4628378378378,7.679054054054054
Rhode Island,Am,852.8688524590164,3.180327868852459
Rhode Island,Pro,936.1538461538462,6.153846153846154
South Carolina,Am,844.9909456740443,3.800804828973843
South Carolina,Pro,933.702479338843,6.9421487603305785
South Dakota,Am,850.4413407821229,4.5083798882681565
South Dakota,Pro,925.7735849056604,7.566037735849057
Tennessee,Am,849.6052259887006,3.7860169491525424
Tennessee,Pro,929.7426470588235,6.319852941176471
Texas,Am,847.6383782422564,4.037522034751952
Texas,Pro,923.1900552486188,7.531491712707182
Utah,Am,845.5773710482529,4.146422628951747
Utah,Pro,927.1456310679612,8.03883495145631
Vermont,Am,848.1470588235294,4.323529411764706
Vermont,Pro,920.5833333333334,7.65
Virginia,Am,837.5974486180014,4.020552799433026
Virginia,Pro,929.0,7.648241206030151
Washington,Am,847.895652173913,3.8474916387959865
Washington,Pro,924.7232876712329,6.841095890410959
West Virginia,Am,836.7843137254902,4.450980392156863
West Virginia,Pro,922.9117647058823,6.294117647058823
Wisconsin,Am,845.9900914634146,3.6775914634146343
Wisconsin,Pro,931.7987012987013,6.068181818181818
Wyoming,Am,831.7821782178218,3.9306930693069306
Wyoming,Pro,927.8,6.0
