,Rank,State,People Per Course,Total Course Number,Population
0,1,Iowa,9988,305,3046355
1,2,North Dakota,10191,66,672591
2,3,Kansas,10528,271,2853118
3,4,South Dakota,10713,76,814180
4,5,Montana,11779,84,989415
5,6,Wyoming,12810,44,563626
6,7,Vermont,13905,45,625741
7,8,Idaho,14381,109,1567582
8,9,Wisconsin,15496,367,5686986
9,10,Minnesota,15646,339,5303925
10,11,Alaska,16142,44,710231
11,12,Nebraska,16162,113,1826341
12,13,Maine,16400,81,1328361
13,14,Colorado,21131,238,5029196
14,15,Oklahoma,21559,174,3751351
15,16,Oregon,22018,174,3831074
16,17,West Virginia,24065,77,1852994
17,18,Arkansas,24504,119,2915918
18,19,Mississippi,26975,110,2967297
19,20,Michigan,27920,354,9883640
20,21,Utah,28203,98,2763885
21,22,Missouri,28515,210,5988144
22,23,North Carolina,29431,324,9535483
23,24,New Hampshire,31345,42,1316470
24,25,Indiana,32913,197,6483802
25,26,New Mexico,34320,60,2059179
26,27,Tennessee,34490,184,6346165
27,28,Kentucky,34715,125,4339367
28,29,South Carolina,37605,123,4625364
29,30,Alabama,41928,114,4779736
30,31,Ohio,42258,273,11536504
31,32,Washington,43666,154,6724540
32,33,Illinois,45499,282,12830632
33,34,Texas,48450,519,25145561
34,35,Virginia,54061,148,8001024
35,36,Pennsylvania,58536,217,12702379
36,37,Arizona,60302,106,6392017
37,38,Hawaii,61832,22,1360301
38,39,Delaware,64138,14,897934
39,40,Georgia,68707,141,9687653
40,41,Louisiana,69744,65,4533372
41,42,Nevada,72988,37,2700551
42,43,Massachusetts,86153,76,6547629
43,44,California,97016,384,37253956
44,45,Connecticut,102117,35,3574097
45,46,Florida,105035,179,18801310
46,47,Maryland,108935,53,5773552
47,48,New York,132727,146,19378102
48,49,Rhode Island,175428,6,1052567
49,50,New Jersey,219797,40,8791894
